category_idx,category,notes,note_idx
1,citrus_smells,"['bergamot', 'bitter orange', 'blood orange', 'calamansi', 'chinotto', 'citron', 'citruses', 'clementine', 'finger lime', 'grapefruit', 'hassaku', 'hatkora lemon', 'kaffir lime', 'kumquat', 'lemon', 'lemon balm', 'lemon tree', 'lemon verbena', 'lemon zest', 'lemongrass', 'lime', 'limetta', 'litsea cubeba', 'mandarin orange', 'mandora', 'methyl pamplemousse', 'neroli', 'orange', 'petitgrain', 'pomelo', 'tangelo', 'tangerine', 'yuzu']","[96, 101, 114, 155, 213, 226, 227, 233, 346, 388, 411, 412, 483, 497, 515, 516, 518, 519, 520, 522, 530, 532, 542, 562, 564, 597, 639, 660, 715, 741, 882, 883, 971]"
2,fruits_vegetables_and_nuts,"['acai berry', 'acerola', 'almond', 'apple', 'apple juice', 'apple pulp', 'apricot', 'arctic bramble', 'argan', 'banana', 'bearberry', 'beetroot', 'black currant', 'blackberry', 'blackthorn', 'blueberry', 'boysenberry', 'brazil nut', 'carambola (star fruit)', 'carrot', 'cashew', 'cassowary fruit', 'cepes', 'chayote', 'cherimoya', 'cherry', 'chestnut', 'cloudberry', 'coconut', 'corn silk', 'cranberry', 'cucumber', 'cupuacu, cupuassu, copoasu', 'currant leaf and bud', 'cyperus scariosus', 'dewberry', 'dried apple crisp', 'dried apricot', 'dried fruits', 'fig', 'fig leaf', 'forest fruits', 'frosted berries', 'fruity notes', 'goji berries', 'gooseberry', 'grape seed', 'grapes', 'greengage', 'ground cherry', 'guarana', 'guava', 'hazelnut', 'jabuticaba', 'jackfruit', 'japanese loquat', 'jobs tears (yi yi ren)', 'kiwi', 'kumbaru', 'lingonberry', 'litchi', 'longan berries', 'macadamia', 'malt', 'mango', 'mangosteen', 'maninka', 'marian plum', 'melon', 'mirabelle', 'mulberry', 'mushroom', 'nashi pear', 'nectarine', 'olive', 'papaya', 'passionfruit', 'pea', 'peach', 'peanut', 'pear', 'pecan', 'persimmon', 'pineapple', 'pinot noir grapes', 'pistachio', 'pitahaya', 'pitanga', 'plum', 'pomegranate', 'pumpkin', 'quince', 'rambutan', 'raspberry', 'red apple', 'red berries', 'red currant', 'red fruits', 'rhubarb', 'sapodilla', 'sea buckthorn', 'snowberry', 'sour cherry', 'soursop', 'soybean', 'squash', 'star apple', 'strawberry', 'tayberry', 'tomato', 'tropical fruits', 'umbu-caja | tapereba', 'walnut', 'water fruit', 'watermelon', 'white currant', 'wild strawberry', 'winterberry', 'wolfberry', 'yellow cherry', 'yumberry']","[3, 4, 16, 45, 47, 49, 51, 56, 57, 75, 86, 90, 102, 108, 111, 118, 125, 127, 174, 183, 186, 190, 198, 204, 206, 207, 209, 234, 245, 262, 272, 281, 284, 287, 291, 308, 314, 315, 317, 343, 344, 354, 360, 362, 382, 384, 387, 390, 399, 402, 405, 406, 416, 466, 468, 470, 478, 491, 496, 537, 541, 543, 550, 560, 565, 567, 568, 573, 593, 605, 622, 623, 631, 634, 653, 680, 690, 693, 694, 697, 698, 705, 712, 723, 726, 727, 728, 729, 732, 739, 757, 759, 763, 765, 770, 771, 772, 773, 780, 811, 816, 835, 841, 843, 844, 852, 855, 858, 887, 905, 911, 918, 932, 936, 940, 946, 953, 956, 958, 965, 969]"
3,flowers,"['acacia', 'acerola blossom', 'aglaia', 'almond blossom', 'alumroot', 'alyssum', 'amarillys', 'anemone', ""angel's trumpet"", 'apple blossom', 'apricot blossom', 'ashoka flower', 'banana flower', 'barberry', 'belladona', 'bellflower', 'bergamot blossom', 'black currant blossom', 'blackberry blossom', 'blue lilies', 'blue poppy', 'bougainvillea', 'bread flower', 'bromelia', 'buddleia', 'butomus umbellatus', 'buttercup', 'camellia', 'cannonball flower', 'carambola blossom', 'carnation', 'celosia', 'chamomile', 'champaca', 'cherry blossom', 'chimonanthus or wintersweet', 'china rose', 'chinotto blossom', 'chocolate flower', 'christmas tree or flame tree', 'chrysanthemum', 'clematis', 'clover', 'coffee blossom', 'cornflower, sultan seeds', 'cosmos flower', 'costus', 'cotton flower', 'crinum lily', 'cyclamen', 'dahlia', 'daisy', 'dandelion', 'daphne', 'deadnettle', 'delonix', 'desert rose', 'dianthus', 'dove tree', 'dried rose', ""dyer's greenweed"", 'edelweiss', 'eglantine rose', 'elderflower', 'encian', 'english marigold', 'field scabious', 'flamingo flower (anthurium)', 'flax', 'floral notes', 'forget me not', 'fragonia', 'freesia', 'fuchsia', 'geranium', 'gerbera', 'gladiolus', 'goldenrod', 'gorse', 'green nard', 'green tea flower', 'guava blossom', 'hawthorn', 'hazel blossom', 'heather', 'heliotrope', 'hellabore flower', 'hemlock', 'hibiscus', 'hoary stock', 'holly flower', 'hollyhock', 'honeybush or cyclopia', 'honeydew blossom', 'hortensia', 'hoya carnosa, wax plant', 'hyacinth', 'hyssop', 'impatiens', 'iris', 'jacaranda', 'jade flower', 'jasmine orchid', 'jujube blossom', 'kadam', 'kanuka', 'kiwi blossom', 'kudzu', 'laburnum', 'lady of the night flower', 'lady slipper orchid', 'lamduan flower', 'lamprocapnos', 'lantana', 'larkspur', 'laurel blossom', 'lavender', 'leatherwood', 'liatris', 'lilac', 'lily-of-the-valley', 'lime (linden) blossom', 'lotus', 'lupin', 'lydia broom', 'magnolia', 'malva', 'mango blossom', 'mariposa lily', 'mayflower', 'meadowsweet', 'melilotus', 'mignonette', 'mimosa', 'mimusops elengi', 'mirabilis', 'monarda', 'monoi oil', 'morning glory flower', 'myrtle', 'narcissus', 'nasturcia', 'nectarine blossom', 'nerium oleander', 'night blooming jasmine', 'olive flower', 'opium', 'orange cassia tree', 'orchard blossom', 'orchid', 'orchid cactus', 'orris root', 'osmanthus', 'pansy', 'papaya blossom', 'paramela', 'passion flower', 'pataqueira', 'peach blossom', 'pear blossom', 'pelargonium', 'peony', 'periwinkle', 'petunia', 'phlox', 'pineapple blossom', 'pittosporum', 'plum blossom', 'poinsettia', 'pomegranate blossom', 'poppy', 'primrose', 'princess tree (paulownia)', 'privet', 'prunella', 'rangoon creeper', 'raspberry blossom', 'reseda', 'rhododendron', 'rosa rubiginosa', 'rose', 'rose hip', 'rose japanese (hamanasu)', 'rose mallow', 'rosebay willowherb', 'safflower', 'sainfoins', 'santolina', 'silk tree blossom', 'snowdrops', 'solomon`s seal', 'sour cherry blossom', 'spanish broom', 'spiraea', ""st. john's wort"", 'strelitzia', 'strobilanthes callosus', 'sunflower', 'sweet pea', 'taif rose', 'tamarisk', 'tobacco blossom', 'trillium', 'tulip', 'violet', 'violet woodsorrel', 'wallflower', 'water hyacinth', 'water lily', 'white ginger lily', 'wildflowers', 'wisteria', 'wrightia', 'ylang-ylang', 'yuzu flower', 'zinnia']","[2, 5, 10, 17, 21, 22, 25, 40, 41, 46, 52, 64, 76, 79, 92, 93, 97, 103, 109, 115, 117, 123, 130, 134, 140, 145, 147, 161, 171, 175, 180, 196, 201, 202, 208, 210, 211, 214, 216, 220, 221, 232, 236, 248, 263, 266, 267, 269, 277, 290, 294, 297, 298, 299, 304, 305, 306, 309, 312, 318, 322, 328, 329, 330, 333, 334, 342, 350, 351, 353, 355, 356, 358, 363, 372, 373, 380, 383, 385, 394, 398, 407, 413, 415, 419, 421, 422, 423, 426, 430, 431, 432, 434, 436, 441, 443, 444, 446, 451, 461, 467, 469, 473, 479, 482, 484, 492, 494, 499, 500, 501, 502, 504, 505, 509, 510, 512, 514, 523, 526, 529, 531, 545, 548, 549, 555, 561, 566, 575, 587, 588, 592, 598, 601, 602, 606, 614, 615, 617, 628, 630, 632, 635, 638, 643, 654, 658, 662, 663, 664, 665, 669, 670, 679, 681, 687, 689, 691, 695, 699, 706, 707, 711, 716, 717, 724, 730, 733, 735, 740, 744, 749, 750, 752, 755, 764, 766, 777, 779, 784, 785, 786, 788, 790, 792, 799, 803, 810, 827, 836, 839, 842, 845, 848, 853, 861, 862, 868, 872, 877, 881, 901, 910, 914, 927, 929, 931, 937, 938, 948, 954, 957, 963, 966, 972, 973]"
4,white_flowers,"['arum lily', 'black locust', 'boronia', 'carissa', 'datura', 'frangipani', 'gardenia', 'grapefruit blossom', 'honeysuckle', 'jasmine', 'karo-karounde', 'lemon blossom', 'lily', 'mandarin orange blossom', 'melati', 'mock orange', 'night blooming cereus', 'orange blossom', 'stephanotis', 'syringa', 'tangerine blossom', 'tiare flower', 'tuberose', 'white flowers', 'white tobacco']","[61, 106, 122, 179, 302, 357, 367, 389, 437, 472, 485, 517, 527, 563, 590, 609, 642, 661, 857, 875, 884, 898, 913, 947, 950]"
5,greens_herbs_and_fougeres,"['agave', 'algae', 'aloe vera', 'ammophila (beach grass)', 'angelica', 'apple mint', 'arnica', 'artemisia', 'asparagus', 'avocado', 'azolla (water fern)', 'banana leaf', 'barley', 'basil', 'bay essence', 'black currant leaf', 'blackberry leaf', 'borage', 'borneol', 'bran', 'buchu or agathosma', 'bulrush', 'burdock', 'cactus', 'calamus', 'calycanthus', 'cannabis', 'carnation leaves', 'celery', 'celery seeds', 'centella asiatica', 'chive', 'cilantro', 'clary sage', 'coca', 'creosote bush', 'crithmum', 'davana', 'dried fallen leaves', 'earl grey tea', 'fern', 'galbanum', 'genmaicha', 'ginkgo', 'ginseng', 'grape leaves', 'grass', 'green notes', 'green pepper', 'green sap', 'gromwell', 'guao or maiden plum', 'hay', 'henna', 'hops', 'horseweed', 'immortelle', 'ivy', 'jatamansi or spikenard', 'juniper', 'juniper berries', 'katrafay', 'katsura leaf', 'khella', 'laminaria', 'lantana leaf', 'lily of the valley leaves', 'limnophila aromatica', 'linaloe berry', 'lovage root', 'mahonia', 'marigold', 'marjoram', 'matcha tea', 'mate', 'melilot or sweet clover', 'mint', 'mistletoe', 'nettle', 'oak leaves', 'oat', 'olive leaf', 'oolong tea', 'orchid leaf', 'oregano', 'palm leaf', 'palmarosa', 'pandanus', 'parsley', 'peach leaf', 'pear leaf', 'polygonum', 'portulaca or pigweed', 'red algae', 'reed', 'rice', 'rooibos red tea', 'rose leaf', 'rose thorn', 'rosemary', 'rue', 'rumex', 'rye', 'sage', 'satureja', 'saw palmetto', 'seaweed', 'shiso', 'sideritis, mountain tea', 'silk vine or milk broom', 'skunk cabbage', 'snake plant', 'spinach', 'strawberry leaf', 'sundew', 'sweet grass', 'tansy', 'tarragon', 'tea', 'thistle', 'thyme', 'ti leaf (cordilyne)', 'tobacco', 'tomato leaf', 'tulsi', 'valerian', 'vine', 'violet leaf', 'wheat', 'wormwood', 'yarrow', 'yunnan red tea']","[8, 14, 19, 37, 42, 48, 59, 60, 65, 69, 70, 77, 81, 82, 83, 104, 110, 120, 121, 126, 138, 141, 142, 152, 156, 158, 170, 181, 194, 195, 197, 215, 223, 229, 242, 276, 278, 303, 316, 323, 341, 366, 370, 378, 379, 386, 392, 395, 396, 397, 401, 404, 414, 424, 438, 440, 450, 465, 475, 480, 481, 486, 487, 489, 503, 506, 528, 533, 535, 547, 557, 574, 576, 585, 586, 591, 604, 607, 640, 648, 650, 655, 657, 666, 667, 674, 675, 677, 688, 696, 701, 737, 746, 769, 776, 781, 783, 789, 791, 793, 795, 797, 798, 802, 814, 815, 819, 822, 825, 828, 830, 833, 847, 859, 867, 871, 885, 886, 888, 894, 896, 897, 900, 906, 916, 919, 925, 928, 943, 962, 964, 970]"
6,spices,"['allspice', 'anise', 'asafoetida', 'bay leaf', 'cacao pod', 'caraway', 'cardamom', 'cassia', 'chutney', 'cinnamon', 'cinnamon leaf', 'clove leaf', 'cloves', 'coffee', 'coriander', 'cubeb or tailed pepper', 'cumin', 'curcuma (turmeric)', 'curry tree', 'dill', 'fennel', 'fenugreek', 'galanga', 'ginger', 'indian spices', 'japanese pepper', 'licorice', 'mace', 'mustard seed', 'nigella', 'nutmeg', 'oily notes', 'oriental notes', 'pepper', 'peppertree', 'pimento', 'pimento leaf', 'pimento seeds', 'pink pepper', 'priprioca', 'saffron', 'safraleine', 'sesame', 'sichuan pepper', 'spicy notes', 'star anise', 'sumac', 'tamarind', 'tonka bean', 'toscanol', 'vanilla', 'wan sao lhong', 'wasabi', 'water pepper', 'west indian bay']","[15, 44, 62, 84, 151, 177, 178, 189, 222, 224, 225, 235, 237, 247, 259, 280, 282, 286, 288, 310, 339, 340, 364, 376, 455, 471, 525, 552, 625, 641, 646, 651, 668, 708, 709, 718, 719, 720, 725, 751, 800, 801, 821, 824, 846, 854, 866, 880, 908, 909, 920, 933, 934, 939, 941]"
7,sweets_and_gourmand_smells,"['acetyl furan', 'agave nectar', 'biscuit', 'bread', 'brioche', 'brown sugar', 'bubble gum', 'butter', 'butterscotch', 'candied fruits', 'candied ginger', 'candied orange', 'candies', 'canele', 'caramel', 'coconut pie', 'cookie', 'cotton candy', 'cream', 'creme brulee', 'croissant', 'cupcake', 'custard', 'dark chocolate', 'dates', 'dulce de leche', 'french pastries', 'frosting [glace]', 'gianduia', 'gingerbread', 'halva', 'hazelnut cocoa spread', 'honey', 'honeycomb', 'horchata', 'ice cream', 'icing pink', 'kulfi', 'loukhoum', 'macarons', 'maple syrup', 'maraschino cherry', 'marmalade', 'marron glace', 'marshmallow', 'marzipan', 'meringues', 'milk mousse', 'molasses', 'nougat', 'panna cotta', 'pear ice cream', 'popcorn', 'praline', 'profiterole', 'rainbow sorbet', 'rice pudding', 'rose jam', 'sorbet', 'spun sugar', 'strawberry syrup', 'sugar', 'tiramisu', 'toffee', 'white chocolate', 'yogurt']","[6, 9, 100, 129, 133, 136, 137, 146, 148, 165, 166, 167, 168, 169, 176, 246, 253, 268, 273, 275, 279, 283, 289, 300, 301, 321, 359, 361, 374, 377, 410, 417, 433, 435, 439, 448, 449, 495, 546, 551, 571, 572, 577, 578, 579, 581, 594, 600, 613, 645, 678, 700, 742, 748, 753, 761, 782, 787, 840, 851, 860, 865, 899, 902, 945, 967]"
8,woods_and_mosses,"['agarwood (oud)', 'akigalawood', 'alder', 'almond tree', 'amaranth', 'amyris', 'apple tree', 'araucaria', 'arbutus (madrona, bearberry tree)', 'argan tree', 'aspen', 'bamboo', 'baobab', 'bark', 'beech', 'belambra tree', 'birch', 'black hemlock or tsuga', 'black spruce', 'blackwood', 'brazilian rosewood', 'buddha wood', 'buxus', 'cabreuva', 'cambodian oud', 'canadian balsam', 'carob tree', 'cashmir wood', 'cedar', 'chalood bark', 'clearwood', 'cocobolo', 'coffee tree', 'cork', 'cottonwood (poplar)', 'cypress', 'cypriol oil or nagarmotha', 'driftwood', 'dry wood', 'ebony tree', 'eucalyptus', 'fig tree', 'fir', 'grass tree', 'guaiac wood', 'hinoki wood', 'ho wood', 'incienso', 'indian oud', 'indian woods', 'ishpink, ocotea quixos', 'kowhai', 'laotian oud', 'larch', 'lichen', 'mahogany', 'manuka', 'maple', 'massoia', 'mesquite wood', 'moepel accord', 'muhuhu', 'neem', 'nootka', 'oak', 'oakmoss', 'olive tree', 'palisander rosewood', 'palo santo', 'paperbark', 'papyrus', 'patchouli', 'pear tree', 'pepperwood or hercules club', 'pine tree', 'plum tree', 'pua keni keni (pua-lulu)', 'ravenala', 'ravensara', 'red willow', 'saman', 'sandalwood', 'satinwood', 'sequoia', 'siam', 'spruce', 'sycamore', 'takamaka', 'teak wood', 'thailand oud', 'thuja', 'turnera diffusa (damiana)', 'vetiver', 'white oud', 'white willow', 'woody notes', 'woody zion', 'yohimbe']","[7, 11, 13, 18, 23, 39, 50, 54, 55, 58, 66, 74, 78, 80, 87, 91, 98, 105, 107, 112, 128, 139, 149, 150, 160, 164, 182, 188, 193, 200, 231, 244, 249, 261, 270, 292, 293, 319, 320, 327, 336, 345, 347, 393, 403, 428, 429, 453, 454, 456, 462, 493, 507, 508, 524, 556, 569, 570, 583, 595, 610, 621, 636, 644, 647, 649, 656, 673, 676, 683, 684, 692, 702, 710, 722, 734, 756, 767, 768, 774, 806, 808, 813, 820, 823, 850, 873, 878, 890, 893, 895, 917, 924, 949, 951, 959, 960, 968]"
9,resins_and_balsams,"['amberwood', 'balsamic vinegar', 'benzoin', 'birch tar', 'breu-branco', 'bushman candle', 'cade oil', 'choya loban', 'choya nakh', 'choya ral', 'coal tar', 'copahu balm', 'copaiba balm', 'copal', 'dragon blood resin', 'elemi', 'gurjun balsam', 'incense', 'labdanum', 'mastic or lentisque', 'mopane', 'myrica', 'myrrh', 'nag champa', 'olibanum (frankincense)', 'opoponax', 'peru balsam', 'poplar (populus) buds', 'resins', 'rubber', 'styrax', 'surf wax', 'tea tree oil']","[30, 73, 95, 99, 131, 144, 153, 217, 218, 219, 240, 254, 255, 256, 313, 331, 409, 452, 498, 584, 616, 626, 627, 629, 652, 659, 713, 743, 778, 794, 863, 870, 889]"
10,musk_amber_animalic_smells,"['amber', 'amber xtreme', 'ambergris', 'ambertonic (iff)', 'ambrarome', 'ambretone', 'ambrette (musk mallow)', 'ambrettolide', 'ambrocenide (symrise)', 'ambroxan', 'animal notes', 'aspic', 'bacon', 'bbq', 'beeswax', 'carrot seeds', 'castoreum', 'caviar', 'cetalox', 'cheese', 'civet', 'coral reef', 'daim', 'genet', 'goat hair', 'hyraceum', 'kephalis', 'leather', 'meat', 'milk', 'musk', 'oysters', 'sea shells', 'skin', 'starfish', 'suede', 'sylkolide', 'tolu balsam', 'truffle']","[26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 43, 68, 71, 85, 89, 184, 191, 192, 199, 205, 228, 257, 295, 369, 381, 445, 488, 513, 589, 599, 624, 671, 817, 829, 856, 864, 874, 904, 912]"
