,citrus_smells,fruits_vegetables_and_nuts,flowers,white_flowers,greens_herbs_and_fougeres,spices,sweets_and_gourmand_smells,woods_and_mosses,resins_and_balsams,musk_amber_animalic_smells,beverages,netural_and_synthetic_popular_and_weird
citrus_smells,1.0,-0.060789912939071655,-0.0005651518004015088,0.013471783138811588,-0.008383303880691528,0.059027060866355896,-0.06824583560228348,-0.14363236725330353,0.02805638685822487,-0.007186551112681627,-0.20091842114925385,-0.02596210315823555
fruits_vegetables_and_nuts,-0.060789912939071655,1.0,0.033635400235652924,-0.01023629680275917,0.08724408596754074,-0.07584890723228455,-0.04311155527830124,-0.045012522488832474,0.06809813529253006,0.028800757601857185,-0.02952304482460022,0.08771836757659912
flowers,-0.0005651518004015088,0.033635400235652924,1.0,-0.05875379964709282,-0.014897771179676056,0.04918312653899193,0.05264221131801605,0.02960451878607273,-0.026012524962425232,-0.024011623114347458,-0.09019649773836136,0.04953252896666527
white_flowers,0.013471783138811588,-0.01023629680275917,-0.05875379964709282,1.0,-0.011738074012100697,0.022898590192198753,0.012045562267303467,-0.021536575630307198,0.005327405408024788,-0.016399268060922623,0.027946075424551964,-0.006251619663089514
greens_herbs_and_fougeres,-0.008383303880691528,0.08724408596754074,-0.014897771179676056,-0.011738074012100697,1.0,-0.07367637008428574,-0.05356597527861595,0.12233061343431473,-0.04482373222708702,-0.03600010275840759,-0.04291830211877823,0.008674697950482368
spices,0.059027060866355896,-0.07584890723228455,0.04918312653899193,0.022898590192198753,-0.07367637008428574,1.0,-0.03769107535481453,-0.02641531452536583,0.07046210020780563,0.13417010009288788,-0.07285818457603455,-0.014022968709468842
sweets_and_gourmand_smells,-0.06824583560228348,-0.04311155527830124,0.05264221131801605,0.012045562267303467,-0.05356597527861595,-0.03769107535481453,1.0,0.06860874593257904,0.018679145723581314,0.013042472302913666,0.008749683387577534,0.026309393346309662
woods_and_mosses,-0.14363236725330353,-0.045012522488832474,0.02960451878607273,-0.021536575630307198,0.12233061343431473,-0.02641531452536583,0.06860874593257904,1.0,-0.03488481044769287,-0.034276075661182404,0.04035484790802002,0.015767842531204224
resins_and_balsams,0.02805638685822487,0.06809813529253006,-0.026012524962425232,0.005327405408024788,-0.04482373222708702,0.07046210020780563,0.018679145723581314,-0.03488481044769287,1.0,0.05005084350705147,-0.0827556625008583,0.08134970813989639
musk_amber_animalic_smells,-0.007186551112681627,0.028800757601857185,-0.024011623114347458,-0.016399268060922623,-0.03600010275840759,0.13417010009288788,0.013042472302913666,-0.034276075661182404,0.05005084350705147,1.0,0.025744454935193062,0.033168405294418335
beverages,-0.20091842114925385,-0.02952304482460022,-0.09019649773836136,0.027946075424551964,-0.04291830211877823,-0.07285818457603455,0.008749683387577534,0.04035484790802002,-0.0827556625008583,0.025744454935193062,1.0,-0.011825427412986755
netural_and_synthetic_popular_and_weird,-0.02596210315823555,0.08771836757659912,0.04953252896666527,-0.006251619663089514,0.008674697950482368,-0.014022968709468842,0.026309393346309662,0.015767842531204224,0.08134970813989639,0.033168405294418335,-0.011825427412986755,1.0
