,1,2,3,4,5
citrus_smells,citrus_smells,beverages,woods_and_mosses,sweets_and_gourmand_smells,fruits_vegetables_and_nuts
fruits_vegetables_and_nuts,fruits_vegetables_and_nuts,netural_and_synthetic_popular_and_weird,greens_herbs_and_fougeres,spices,resins_and_balsams
flowers,flowers,beverages,white_flowers,sweets_and_gourmand_smells,netural_and_synthetic_popular_and_weird
white_flowers,white_flowers,flowers,beverages,spices,woods_and_mosses
greens_herbs_and_fougeres,greens_herbs_and_fougeres,woods_and_mosses,fruits_vegetables_and_nuts,spices,sweets_and_gourmand_smells
spices,spices,musk_amber_animalic_smells,fruits_vegetables_and_nuts,greens_herbs_and_fougeres,beverages
sweets_and_gourmand_smells,sweets_and_gourmand_smells,woods_and_mosses,citrus_smells,greens_herbs_and_fougeres,flowers
woods_and_mosses,woods_and_mosses,citrus_smells,greens_herbs_and_fougeres,sweets_and_gourmand_smells,fruits_vegetables_and_nuts
resins_and_balsams,resins_and_balsams,beverages,netural_and_synthetic_popular_and_weird,spices,fruits_vegetables_and_nuts
musk_amber_animalic_smells,musk_amber_animalic_smells,spices,resins_and_balsams,greens_herbs_and_fougeres,woods_and_mosses
beverages,beverages,citrus_smells,flowers,resins_and_balsams,spices
netural_and_synthetic_popular_and_weird,netural_and_synthetic_popular_and_weird,fruits_vegetables_and_nuts,resins_and_balsams,flowers,musk_amber_animalic_smells
