,pk,model,name,thumbnail,gender,top_notes,heart_notes,base_notes,seasons,availability,brand,categories,price
0,26120003,perfumes.perfume,X-Centric,26120003.jpg,1,"[178, 224, 229, 292, 388, 395, 646]","[358, 545, 785]","[26, 193, 624, 692]","[1, 2, 3, 4]",True,895,[3],21.0
1,26120006,perfumes.perfume,GFT,26120006.jpg,1,"[96, 515, 562]","[292, 512, 886]","[193, 624, 649]",[3],True,1170,"[3, 5, 8]",62.0
2,26120008,perfumes.perfume,Citron Citron,26120008.jpg,0,"[515, 530, 660]","[82, 604]","[178, 193, 649]","[2, 3]",True,2054,[5],99.07
3,26120015,perfumes.perfume,30cc / 50cc / 100cc,26120015.jpg,1,"[96, 388]","[45, 473, 793, 896]","[624, 649]",[3],True,642,[5],22.67
4,26120018,perfumes.perfume,1872 for Men,26120018.jpg,1,"[229, 562, 708, 715]",[],[],[],True,682,[],389.0
5,26120019,perfumes.perfume,1881 pour Homme,26120019.jpg,1,"[82, 96, 237, 292, 481, 512, 515, 793, 886]","[102, 785, 966]","[26, 808]","[1, 3]",True,610,[3],15.99
6,26120020,perfumes.perfume,1903,26120020.jpg,0,"[96, 227, 395]","[178, 229]","[331, 513, 652, 900]",[3],True,1423,"[5, 6]",165.0
7,26120021,perfumes.perfume,212 Men,26120021.jpg,1,[],"[367, 376, 708]",[808],"[3, 4]",True,586,[6],47.25
8,26120027,perfumes.perfume,273 Rodeo Drive for Men,26120027.jpg,1,"[96, 512]","[26, 649]","[193, 624]","[3, 4]",True,1116,"[8, 10]",42.5
9,26120028,perfumes.perfume,360 Degrees for Men ,26120028.jpg,1,"[227, 481]","[178, 512, 802]",[],[3],True,2435,"[3, 5, 6]",7.99
10,26120030,perfumes.perfume,4711 Echt Kölnisch Wasser,26120030.jpg,0,"[96, 515, 639, 660, 715]","[785, 793]","[624, 959]","[2, 3]",True,16,"[3, 5]",13.5
11,26120037,perfumes.perfume,Absolute,26120037.jpg,1,"[395, 672]","[353, 455]","[26, 624]","[3, 4]",True,1990,"[3, 6]",29.99
12,26120038,perfumes.perfume,Acier,26120038.jpg,1,"[512, 515]",[259],[433],"[3, 4]",True,493,[6],196.0
13,26120041,perfumes.perfume,Acqua di Giò pour Homme,26120041.jpg,1,"[473, 793]",[573],"[193, 624, 692, 785]","[1, 3]",True,1191,[2],9.09
14,26120042,perfumes.perfume,Acqua di Parma Colonia,26120042.jpg,0,[],"[512, 519, 785, 793]","[692, 808, 924]",[2],True,61,[3],56.25
15,26120043,perfumes.perfume,Lavanda Tonica,26120043.jpg,0,"[96, 512, 515, 661]",[],[],[],True,61,[],29.98
16,26120044,perfumes.perfume,Acqua di Selva,26120044.jpg,1,"[82, 96, 512, 515, 793]","[180, 229, 246, 372, 896]","[193, 624, 649, 924]","[2, 3]",True,3153,"[3, 5]",24.5
17,26120047,perfumes.perfume,Active Bodies,26120047.jpg,1,"[12, 177, 224, 395, 512, 515]","[358, 785, 808]","[26, 498, 624, 649, 863, 908]","[3, 4]",True,70,[3],154.08
18,26120048,perfumes.perfume,Activist,26120048.jpg,1,[227],[455],"[7, 26]","[3, 4]",True,460,[6],39.87
19,26120052,perfumes.perfume,Adidas Adventure,26120052.jpg,1,"[82, 96, 259, 512, 715, 793]","[180, 229, 290, 341, 372]","[26, 193, 347, 513, 649, 908]","[2, 3]",True,70,[3],39.0
20,26120053,perfumes.perfume,Adidas Adventure Explore,26120053.jpg,1,[227],"[512, 802]","[7, 928]","[2, 3]",True,70,"[3, 5]",39.0
21,26120054,perfumes.perfume,Adidas Classic / Classic Blue,26120054.jpg,1,"[96, 512, 515, 562]","[246, 290, 372, 473, 480, 715, 785]","[26, 193, 624, 649, 924]",[2],True,70,[3],79.58
22,26120055,perfumes.perfume,Adidas Dynamic / Dynamic Pulse,26120055.jpg,1,"[227, 604]","[193, 353, 354]","[7, 908]",[3],True,70,"[2, 3, 8]",15.7
23,26120056,perfumes.perfume,Adidas Ice Dive,26120056.jpg,1,"[96, 388, 562, 971]","[372, 692, 808]","[903, 920]","[3, 4]",True,70,[8],14.96
24,26120057,perfumes.perfume,Adidas Moves,26120057.jpg,1,"[44, 45, 604, 688, 708, 723, 906]","[193, 372, 376, 473, 480, 512, 624]","[649, 808, 896]",[3],True,70,[3],44.77
25,26120059,perfumes.perfume,Adidas Sport / Sport Field,26120059.jpg,1,"[45, 562, 604, 708, 723, 906]","[372, 376, 473, 480, 512, 624]","[177, 649, 808]",[3],True,70,[3],56.21
26,26120060,perfumes.perfume,Adidas Team / Team Force,26120060.jpg,1,"[388, 481]","[227, 473]","[26, 900, 959]","[1, 2]",True,70,"[1, 3]",20.0
27,26120066,perfumes.perfume,Agua Brava,26120066.jpg,1,"[96, 480, 512, 515, 802]","[180, 246]","[513, 624, 649, 692, 808, 924]",[4],True,239,"[3, 7]",40.4
28,26120067,perfumes.perfume,Agua de Loewe,26120067.jpg,0,"[96, 971]",[],"[26, 193, 624, 808]",[],True,1813,[],10.5
29,26120068,perfumes.perfume,Agua Fresca,26120068.jpg,1,"[96, 562, 576, 715, 962]","[229, 259, 481, 512, 708, 793]","[193, 246, 624, 649, 692, 808, 924]",[3],True,72,[5],22.5
30,26120069,perfumes.perfume,Agua Lavanda,26120069.jpg,0,"[96, 512, 715, 793]","[229, 372]","[193, 649, 908]","[2, 3]",True,239,"[3, 5]",15.76
31,26120072,perfumes.perfume,Aigues Vives,26120072.jpg,0,"[96, 515]","[224, 512]","[473, 649]","[3, 4]",True,1151,"[3, 6]",239.95
32,26120076,perfumes.perfume,Alain Delon Pour Homme,26120076.jpg,1,"[82, 178, 292, 604, 883]","[96, 473, 785]","[26, 624, 808, 920, 924]","[1, 2]",True,113,[3],82.5
33,26120079,perfumes.perfume,Allure Homme,26120079.jpg,1,"[96, 562]",[708],"[193, 498, 692, 808, 908, 924]","[3, 4]",True,614,[6],80.0
34,26120088,perfumes.perfume,Ambre Précieux,26120088.jpg,1,[628],"[646, 920]","[28, 713, 904]","[3, 4]",True,2008,[6],396.76
35,26120089,perfumes.perfume,Ambre Sultan,26120089.jpg,0,"[26, 920]",[],[],[],True,2767,[],92.17
36,26120091,perfumes.perfume,America for Men,26120091.jpg,1,"[96, 341, 723, 802]","[372, 480, 512, 924]","[26, 193, 624, 639, 808]",[3],True,2435,[3],23.89
37,26120093,perfumes.perfume,American Crew Classic Fragrance,26120093.jpg,0,"[388, 562]","[512, 793]","[229, 808]","[2, 3]",True,163,"[3, 5]",44.0
38,26120100,perfumes.perfume,Andy Warhol for Men,26120100.jpg,1,"[82, 886]","[178, 473]","[193, 624, 649, 808]","[3, 4]",True,193,"[3, 6]",14.98
39,26120102,perfumes.perfume,Animale for Men,26120102.jpg,1,"[227, 358, 639]","[372, 480, 512]","[513, 649, 924]","[2, 3]",True,205,[3],23.94
40,26120103,perfumes.perfume,Animale Animale for Men,26120103.jpg,1,[96],"[216, 649]","[808, 920]","[3, 4]",True,205,"[3, 8]",23.94
41,26120104,perfumes.perfume,Annayaké Pour Lui,26120104.jpg,1,"[888, 908]",[],[],[],True,218,[],59.99
42,26120105,perfumes.perfume,Antaeus,26120105.jpg,1,"[96, 193, 229, 259, 515, 530, 628]","[82, 473, 669, 692, 785, 808, 896]","[89, 191, 498, 513, 624, 649, 652]",[3],True,614,[3],249.0
43,26120108,perfumes.perfume,Anucci Man,26120108.jpg,1,"[96, 201, 227, 473]","[512, 692, 924]","[26, 624, 649]","[3, 4]",True,241,[8],29.11
44,26120110,perfumes.perfume,Aqua Allegoria Herba Fresca,26120110.jpg,0,[],[398],"[290, 529]","[1, 2, 3, 4]",True,1240,[3],74.5
45,26120112,perfumes.perfume,Aqua Allegoria Pamplelune,26120112.jpg,0,[96],"[639, 715]","[692, 920]","[1, 2]",True,1240,[1],54.63
46,26120114,perfumes.perfume,Aqua Nautilus,26120114.jpg,1,"[96, 344, 366, 883]","[178, 259, 473, 512, 529, 573, 708]","[28, 193, 624, 649, 808, 908]",[3],True,2164,"[3, 6]",39.99
47,26120115,perfumes.perfume,Aqua Quorum,26120115.jpg,1,"[358, 512]","[26, 372, 388]",[649],"[1, 2, 3, 4]",True,239,"[1, 3, 10]",17.37
48,26120117,perfumes.perfume,Aqua Velva Ice Blue,26120117.jpg,1,"[96, 512, 515, 604, 715]","[193, 229, 473, 924]","[26, 498, 513, 624, 649]",[3],True,3195,[8],69.99
49,26120118,perfumes.perfume,Aqua Velva Ice Sport,26120118.jpg,1,"[53, 227, 513, 596, 771]",[],[],[],True,3195,[],34.95
50,26120122,perfumes.perfume,Arabie,26120122.jpg,0,[301],"[237, 282, 627, 646, 908]","[193, 808]","[3, 4]",True,2767,[6],12.99
51,26120123,perfumes.perfume,Aramis,26120123.jpg,1,"[282, 366, 367]","[229, 473, 669, 692]","[26, 191, 513, 624, 649, 692, 808, 924]",[3],True,253,[3],42.31
52,26120124,perfumes.perfume,Aramis 900,26120124.jpg,1,"[96, 515, 785]","[180, 372, 669]","[649, 692, 924]","[1, 2, 3, 4]",True,253,[3],14.99
53,26120128,perfumes.perfume,Armand Basi Homme,26120128.jpg,1,"[178, 224]","[526, 529, 908]","[193, 624, 808, 920]","[3, 4]",True,264,[3],46.12
54,26120129,perfumes.perfume,Armani Eau pour Homme,26120129.jpg,1,"[82, 515, 883]","[237, 512]","[649, 808]","[3, 4]",True,1191,"[3, 6]",42.5
55,26120130,perfumes.perfume,Arôme 3,26120130.jpg,0,"[96, 512, 639, 715]","[237, 259, 473, 802, 966]","[26, 193, 649]",[3],True,769,"[3, 6]",59.99
56,26120132,perfumes.perfume,Arrogance pour Homme ,26120132.jpg,1,"[96, 512, 708]","[193, 372, 433, 900]","[26, 498, 649, 692]","[3, 4]",True,273,"[3, 5, 7, 8]",86.35
57,26120134,perfumes.perfume,Arrogance Uomo,26120134.jpg,1,"[60, 96, 229, 512, 552]","[180, 372, 473, 529, 785]","[26, 191, 193, 513, 649, 692, 924]","[1, 2, 3, 4]",True,273,[3],75.85
58,26120139,perfumes.perfume,Aspen Discovery,26120139.jpg,1,[227],"[358, 512]","[7, 624]","[1, 2, 3, 4]",True,736,[3],37.04
59,26120140,perfumes.perfume,Aspen for Men,26120140.jpg,1,"[96, 515, 604]","[512, 924]","[26, 649]","[3, 4]",True,736,"[3, 8]",14.99
60,26120141,perfumes.perfume,Astor,26120141.jpg,1,"[177, 808]",[],[],[],True,1170,[],75.0
61,26120144,perfumes.perfume,Aubusson Homme,26120144.jpg,1,"[12, 60, 82, 481, 515, 562]","[224, 237, 290, 347, 372, 473]","[26, 498, 513, 624, 649, 692, 808]","[3, 4]",True,303,[3],42.99
