,middle_note,count
0,rose,213
1,jasmine orchid,205
2,iris,58
3,geranium,55
4,violet,53
5,patchouli,51
6,orange blossom,49
7,cedar,49
8,lavender,45
9,ylang-ylang,43
10,lily-of-the-valley,34
11,jasmine,29
12,tuberose,27
13,tobacco,26
14,pepper,24
15,neroli,23
16,heliotrope,21
17,cinnamon,21
18,vetiver,20
19,sandalwood,19
20,sage,17
21,carnation,15
22,cardamom,15
23,ginger,15
24,nutmeg,15
25,clary sage,14
26,pink pepper,14
27,cloves,14
28,orris root,14
29,plum,14
30,leather,13
31,labdanum,13
32,vanilla,13
33,osmanthus,12
34,violet leaf,12
35,freesia,12
36,peach,12
37,gardenia,12
38,agarwood (oud),11
39,coriander,11
40,cypress,10
41,saffron,10
42,salt,10
43,amber,10
44,peony,10
45,myrrh,10
46,honey,10
47,apple,9
48,rosemary,9
49,galbanum,8
50,narcissus,8
51,lily,8
52,birch,8
53,olibanum (frankincense),8
54,davana,7
55,juniper,7
56,coffee,7
57,lilac,7
58,petitgrain,7
59,basil,7
60,orchid,7
61,coconut,7
62,floral notes,6
63,cypriol oil or nagarmotha,6
64,marian plum,6
65,lotus,5
66,black currant,5
67,mate,5
68,cyclamen,5
69,styrax,5
70,chocolate flower,5
71,tonka bean,5
72,white flowers,5
73,green notes,5
74,praline,5
75,honeysuckle,5
76,eucalyptus,5
77,mimosa,5
78,pineapple,5
79,bergamot,5
80,mint,5
81,magnolia,5
82,cherry blossom,5
83,ambergris,4
84,hay,4
85,thyme,4
86,pear,4
87,oakmoss,4
88,driftwood,4
89,green tea flower,4
90,fragonia,4
91,hyacinth,4
92,indian spices,4
93,250,4
94,cashmeran,3
95,tulip,3
96,aquozone,3
97,raspberry,3
98,orange,3
99,chamomile,3
100,immortelle,3
101,lemon,3
102,artemisia,3
103,caramel,3
104,almond,3
105,hazelnut cocoa spread,3
106,musk,3
107,rum,2
108,teak wood,2
109,fern,2
110,strawberry,2
111,licorice,2
112,pittosporum,2
113,myrtle,2
114,opoponax,2
115,petalia,2
116,dark chocolate,2
117,aldehydes,2
118,camphor,2
119,guaiac wood,2
120,seaweed,2
121,rice,2
122,fig,2
123,champaca,2
124,cumin,2
125,suede,2
126,melon,2
127,milk,2
128,ivy,2
129,tolu balsam,2
130,dried fruits,2
131,tea,2
132,rhubarb,2
133,grapefruit,2
134,fig leaf,2
135,passionfruit,2
136,marigold,2
137,blueberry,1
138,tarragon,1
139,water pepper,1
140,sesame,1
141,papyrus,1
142,taif rose,1
143,whiskey,1
144,mango,1
145,hyssop,1
146,bitter orange,1
147,toffee,1
148,nashi pear,1
149,red fruits,1
150,lime,1
151,red berries,1
152,bay leaf,1
153,caraway,1
154,apple blossom,1
155,strawberry leaf,1
156,white chocolate,1
157,smoke,1
158,tokaji wine,1
159,guava,1
160,ambroxan,1
161,calamus,1
162,carrot seeds,1
163,peach blossom,1
164,gin,1
165,amyris,1
166,plum blossom,1
167,wildflowers,1
168,star anise,1
169,lemon verbena,1
170,fruity notes,1
171,spicy notes,1
172,amaretto,1
173,grape leaves,1
174,grapes,1
175,palmarosa,1
176,agave,1
177,elemi,1
178,liatris,1
179,sequoia,1
180,clover,1
181,pomarose,1
182,forest fruits,1
183,algae,1
184,hibiscus,1
185,acacia,1
186,cade oil,1
187,amberwood,1
188,sweet pea,1
189,camellia,1
190,maple syrup,1
191,civet,1
192,akigalawood,1
193,juniper berries,1
