,notes,note_idx
0,bergamot,96
1,bitter orange,101
2,blood orange,114
3,calamansi,155
4,chinotto,213
5,citron,226
6,citruses,227
7,clementine,233
8,finger lime,346
9,grapefruit,388
10,hassaku,411
11,hatkora lemon,412
12,kaffir lime,483
13,kumquat,497
14,lemon,515
15,lemon balm,516
16,lemon tree,518
17,lemon verbena,519
18,lemon zest,520
19,lemongrass,522
20,lime,530
21,limetta,532
22,litsea cubeba,542
23,mandarin orange,562
24,mandora,564
25,methyl pamplemousse,597
26,neroli,639
27,orange,660
28,petitgrain,715
29,pomelo,741
30,tangelo,882
31,tangerine,883
32,yuzu,971
33,acai berry,3
34,acerola,4
35,almond,16
36,apple,45
37,apple juice,47
38,apple pulp,49
39,apricot,51
40,arctic bramble,56
41,argan,57
42,banana,75
43,bearberry,86
44,beetroot,90
45,black currant,102
46,blackberry,108
47,blackthorn,111
48,blueberry,118
49,boysenberry,125
50,brazil nut,127
51,carambola (star fruit),174
52,carrot,183
53,cashew,186
54,cassowary fruit,190
55,cepes,198
56,chayote,204
57,cherimoya,206
58,cherry,207
59,chestnut,209
60,cloudberry,234
61,coconut,245
62,corn silk,262
63,cranberry,272
64,cucumber,281
65,"cupuacu, cupuassu, copoasu",284
66,currant leaf and bud,287
67,cyperus scariosus,291
68,dewberry,308
69,dried apple crisp,314
70,dried apricot,315
71,dried fruits,317
72,fig,343
73,fig leaf,344
74,forest fruits,354
75,frosted berries,360
76,fruity notes,362
77,goji berries,382
78,gooseberry,384
79,grape seed,387
80,grapes,390
81,greengage,399
82,ground cherry,402
83,guarana,405
84,guava,406
85,hazelnut,416
86,jabuticaba,466
87,jackfruit,468
88,japanese loquat,470
89,jobs tears (yi yi ren),478
90,kiwi,491
91,kumbaru,496
92,lingonberry,537
93,litchi,541
94,longan berries,543
95,macadamia,550
96,malt,560
97,mango,565
98,mangosteen,567
99,maninka,568
100,marian plum,573
101,melon,593
102,mirabelle,605
103,mulberry,622
104,mushroom,623
105,nashi pear,631
106,nectarine,634
107,olive,653
108,papaya,680
109,passionfruit,690
110,pea,693
111,peach,694
112,peanut,697
113,pear,698
114,pecan,705
115,persimmon,712
116,pineapple,723
117,pinot noir grapes,726
118,pistachio,727
119,pitahaya,728
120,pitanga,729
121,plum,732
122,pomegranate,739
123,pumpkin,757
124,quince,759
125,rambutan,763
126,raspberry,765
127,red apple,770
128,red berries,771
129,red currant,772
130,red fruits,773
131,rhubarb,780
132,sapodilla,811
133,sea buckthorn,816
134,snowberry,835
135,sour cherry,841
136,soursop,843
137,soybean,844
138,squash,852
139,star apple,855
140,strawberry,858
141,tayberry,887
142,tomato,905
143,tropical fruits,911
144,umbu-caja | tapereba,918
145,walnut,932
146,water fruit,936
147,watermelon,940
148,white currant,946
149,wild strawberry,953
150,winterberry,956
151,wolfberry,958
152,yellow cherry,965
153,yumberry,969
154,acacia,2
155,acerola blossom,5
156,aglaia,10
157,almond blossom,17
158,alumroot,21
159,alyssum,22
160,amarillys,25
161,anemone,40
162,angel's trumpet,41
163,apple blossom,46
164,apricot blossom,52
165,ashoka flower,64
166,banana flower,76
167,barberry,79
168,belladona,92
169,bellflower,93
170,bergamot blossom,97
171,black currant blossom,103
172,blackberry blossom,109
173,blue lilies,115
174,blue poppy,117
175,bougainvillea,123
176,bread flower,130
177,bromelia,134
178,buddleia,140
179,butomus umbellatus,145
180,buttercup,147
181,camellia,161
182,cannonball flower,171
183,carambola blossom,175
184,carnation,180
185,celosia,196
186,chamomile,201
187,champaca,202
188,cherry blossom,208
189,chimonanthus or wintersweet,210
190,china rose,211
191,chinotto blossom,214
192,chocolate flower,216
193,christmas tree or flame tree,220
194,chrysanthemum,221
195,clematis,232
196,clover,236
197,coffee blossom,248
198,"cornflower, sultan seeds",263
199,cosmos flower,266
200,costus,267
201,cotton flower,269
202,crinum lily,277
203,cyclamen,290
204,dahlia,294
205,daisy,297
206,dandelion,298
207,daphne,299
208,deadnettle,304
209,delonix,305
210,desert rose,306
