pk,model,fields
1,perfumes.note,"{'name': 'absinthe', 'kor_name': '압생트'}"
2,perfumes.note,"{'name': 'acacia', 'kor_name': '아카시아'}"
3,perfumes.note,"{'name': 'acai berry', 'kor_name': '아사이베리'}"
4,perfumes.note,"{'name': 'acerola', 'kor_name': '아세로라'}"
5,perfumes.note,"{'name': 'acerola blossom', 'kor_name': '아세로라 블라썸'}"
6,perfumes.note,"{'name': 'acetyl furan', 'kor_name': '아세틸 푸란'}"
7,perfumes.note,"{'name': 'agarwood (oud)', 'kor_name': '아갈우드'}"
8,perfumes.note,"{'name': 'agave', 'kor_name': '아게이브'}"
9,perfumes.note,"{'name': 'agave nectar', 'kor_name': '아게이브 넥타르'}"
10,perfumes.note,"{'name': 'aglaia', 'kor_name': '아글라이아'}"
11,perfumes.note,"{'name': 'akigalawood', 'kor_name': '아키갈라우드'}"
12,perfumes.note,"{'name': 'aldehydes', 'kor_name': '알데하이드'}"
13,perfumes.note,"{'name': 'alder', 'kor_name': '알더'}"
14,perfumes.note,"{'name': 'algae', 'kor_name': '알게'}"
15,perfumes.note,"{'name': 'allspice', 'kor_name': '올스파이스'}"
16,perfumes.note,"{'name': 'almond', 'kor_name': '아몬드'}"
17,perfumes.note,"{'name': 'almond blossom', 'kor_name': '아몬드 블라썸'}"
18,perfumes.note,"{'name': 'almond tree', 'kor_name': '아몬드 트리'}"
19,perfumes.note,"{'name': 'aloe vera', 'kor_name': '알로에 베라'}"
20,perfumes.note,"{'name': 'aluminum', 'kor_name': '알루미늄'}"
21,perfumes.note,"{'name': 'alumroot', 'kor_name': '앨럼루트'}"
22,perfumes.note,"{'name': 'alyssum', 'kor_name': '알리섬'}"
23,perfumes.note,"{'name': 'amaranth', 'kor_name': '아마란스'}"
24,perfumes.note,"{'name': 'amaretto', 'kor_name': '아마레토'}"
25,perfumes.note,"{'name': 'amarillys', 'kor_name': '아마릴리스'}"
26,perfumes.note,"{'name': 'amber', 'kor_name': '엠버'}"
27,perfumes.note,"{'name': 'amber xtreme', 'kor_name': '엠버 엑스트림'}"
28,perfumes.note,"{'name': 'ambergris', 'kor_name': '엠버그리스'}"
29,perfumes.note,"{'name': 'ambertonic (iff)', 'kor_name': '엠버토닉'}"
30,perfumes.note,"{'name': 'amberwood', 'kor_name': '엠버우드'}"
31,perfumes.note,"{'name': 'ambrarome', 'kor_name': '엠브러로움'}"
32,perfumes.note,"{'name': 'ambretone', 'kor_name': '엠브레톤'}"
33,perfumes.note,"{'name': 'ambrette (musk mallow)', 'kor_name': '엠브레트'}"
34,perfumes.note,"{'name': 'ambrettolide', 'kor_name': '앰브레톨라이드'}"
35,perfumes.note,"{'name': 'ambrocenide (symrise)', 'kor_name': '앰브로케니드'}"
36,perfumes.note,"{'name': 'ambroxan', 'kor_name': '앰브락산'}"
37,perfumes.note,"{'name': 'ammophila (beach grass)', 'kor_name': '애모필러'}"
38,perfumes.note,"{'name': 'amyl salicylate', 'kor_name': '애밀 샐슬럿'}"
39,perfumes.note,"{'name': 'amyris', 'kor_name': '애미리스'}"
40,perfumes.note,"{'name': 'anemone', 'kor_name': '아네모네'}"
41,perfumes.note,"{'name': ""angel's trumpet"", 'kor_name': '앤젤스트럼펫'}"
42,perfumes.note,"{'name': 'angelica', 'kor_name': '안젤리카'}"
43,perfumes.note,"{'name': 'animal notes', 'kor_name': '에니멀 노츠'}"
44,perfumes.note,"{'name': 'anise', 'kor_name': '애너스'}"
45,perfumes.note,"{'name': 'apple', 'kor_name': '애플'}"
46,perfumes.note,"{'name': 'apple blossom', 'kor_name': '애플 플라썸'}"
47,perfumes.note,"{'name': 'apple juice', 'kor_name': '애플 주스'}"
48,perfumes.note,"{'name': 'apple mint', 'kor_name': '애플 민트'}"
49,perfumes.note,"{'name': 'apple pulp', 'kor_name': '애플 펄프'}"
50,perfumes.note,"{'name': 'apple tree', 'kor_name': '애플 트리'}"
