,pk,model,name,launch_date,thumbnail,gender,top_notes,heart_notes,base_notes,seasons,availability,brand,categories,price
6,26120007,perfumes.perfume,Verveine Narcisse,,26120007.jpg,0,[515],"[53, 353, 395]",[649],"[2, 3]",True,749,"[3, 5, 12]",0.0
8,26120009,perfumes.perfume,Bayrhum-Vetiver,,26120009.jpg,0,"[84, 708, 924]",[],[],[],True,749,[],0.0
10,26120011,perfumes.perfume,Ragheeb,,26120011.jpg,0,"[96, 237, 372, 646, 785, 800]",[],[],[],True,102,[],0.0
16,26120017,perfumes.perfume,1805,1998-01-01,26120017.jpg,1,"[96, 562]","[178, 292, 646]","[193, 624, 808]","[3, 4]",True,3065,[6],0.0
25,26120031,perfumes.perfume,4H for Him,1999-01-01,26120031.jpg,1,"[96, 562]","[421, 646]","[193, 624, 649, 692]","[3, 4]",True,153,"[3, 6]",0.0
26,26120032,perfumes.perfume,4H for Him and Her,1999-01-01,26120032.jpg,0,"[398, 562, 715]","[421, 473]","[624, 808, 920]","[1, 2, 3, 4]",True,153,[3],0.0
28,26120034,perfumes.perfume,A*Men / Angel Men,1996-01-01,26120034.jpg,1,"[96, 512, 604]",[692],"[176, 216, 624, 908, 920]","[3, 4]",True,3012,[8],0.0
59,26120065,perfumes.perfume,Agreste,1982-01-01,26120065.jpg,1,"[60, 82, 96, 282, 480]","[180, 246, 473, 785]","[513, 624, 649, 652, 692]",[4],True,1147,[3],0.0
75,26120081,perfumes.perfume,Alviero Martini Uomo,1997-01-01,26120081.jpg,1,[395],[],[],[],True,151,[],0.0
88,26120094,perfumes.perfume,American Crew Sport,,26120094.jpg,0,[96],[512],[924],"[1, 2, 3, 4]",True,163,[3],0.0
94,26120101,perfumes.perfume,Angel Food,1997-01-01,26120101.jpg,0,"[245, 624, 920]",[],[],[],True,827,[],0.0
172,26120179,perfumes.perfume,Be Bop pour Homme,1992-01-01,26120179.jpg,1,"[82, 96, 372, 512, 515, 883, 896]","[224, 237, 259]","[193, 659, 692, 924]","[3, 4]",True,1628,[6],0.0
177,26120184,perfumes.perfume,Micaelangelo Bellagio Uomo,2000-01-01,26120184.jpg,1,[388],"[290, 372, 927]","[26, 193, 624, 808]","[1, 2, 3, 4]",True,1092,[3],0.0
180,26120187,perfumes.perfume,Bernini Sport,1995-01-01,26120187.jpg,1,[562],[],[624],[],True,401,[],0.0
241,26120249,perfumes.perfume,Boxter for Men,2000-01-01,26120249.jpg,1,[227],"[82, 455]","[692, 808]",[3],True,1092,"[5, 6]",0.0
301,26120309,perfumes.perfume,Cedar,2018-01-01,26120309.jpg,0,"[193, 423]",[],[],[],True,827,[],0.0
