,citrus,fruits,flowers,white flowers,herbs,spices,sweets,woods,resins,musk,beverages,synthetic
citrus,1.0,0.78814697265625,0.43805158138275146,0.32064557477430156,0.6777679920196533,0.6333602666854858,0.4454750418663025,0.23418211936950684,0.3247179090976715,0.4024538993835449,0.4836074113845825,0.24250070046710737
fruits,0.78814697265625,1.0,0.6843440532684326,0.45829693169044855,0.8218427896499634,0.6886895298957825,0.6069772243499756,0.2504332959651947,0.3165428042411804,0.5402555465698242,0.47623082995414734,0.22756776228550143
flowers,0.43805158138275146,0.6843440532684326,1.0,0.7071068065084404,0.6184571981430054,0.3378177881240845,0.4221687912940979,0.3532780110836029,0.13975687325000763,0.45642632246017456,0.1825847625732422,0.10620737981668482
white flowers,0.32064557477430156,0.45829693169044855,0.7071068065084404,1.0,0.5593174695968628,0.3671967685222626,0.4048679769039154,0.4279635548591614,0.1726623922586441,0.5121657848358154,0.21465027332305908,0.24277671234055198
herbs,0.6777679920196533,0.8218427896499634,0.6184571981430054,0.5593174695968628,1.0,0.7333968877792358,0.5975097417831421,0.29875093698501587,0.3605830669403076,0.5307455658912659,0.48393428325653076,0.25797000274563986
spices,0.6333602666854858,0.6886895298957825,0.3378177881240845,0.3671967685222626,0.7333968877792358,1.0,0.7037017345428467,0.11826887726783752,0.3549407720565796,0.4651819169521332,0.5758925676345825,0.22804456629545142
sweets,0.4454750418663025,0.6069772243499756,0.4221687912940979,0.4048679769039154,0.5975097417831421,0.7037017345428467,1.0,0.20900443196296692,0.2653037905693054,0.34550023078918457,0.6492557525634766,0.13878983996287567
woods,0.23418211936950684,0.2504332959651947,0.3532780110836029,0.4279635548591614,0.29875093698501587,0.11826887726783752,0.20900443196296692,1.0,0.04119250923395157,0.2811291813850403,0.007324350997805595,0.0
resins,0.3247179090976715,0.3165428042411804,0.13975687325000763,0.1726623922586441,0.3605830669403076,0.3549407720565796,0.2653037905693054,0.04119250923395157,1.0,0.29447224736213684,0.3644408583641052,0.6913146745652029
musk,0.4024538993835449,0.5402555465698242,0.45642632246017456,0.5121657848358154,0.5307455658912659,0.4651819169521332,0.34550023078918457,0.2811291813850403,0.29447224736213684,1.0,0.2033708691596985,0.26035031171137707
beverages,0.4836074113845825,0.47623082995414734,0.1825847625732422,0.21465027332305908,0.48393428325653076,0.5758925676345825,0.6492557525634766,0.007324350997805595,0.3644408583641052,0.2033708691596985,1.0,0.28309785099559104
synthetic,0.24250070046710737,0.22756776228550143,0.10620737981668482,0.24277671234055198,0.25797000274563986,0.22804456629545142,0.13878983996287567,0.0,0.6913146745652029,0.26035031171137707,0.28309785099559104,1.0
