,top_note,top_counts
0,bergamot,311
1,rose,139
2,lemon,114
3,vanilla,101
4,jasmine orchid,99
5,mandarin orange,94
6,musk,94
7,cedar,91
8,sandalwood,86
9,pink pepper,85
10,pepper,84
11,patchouli,80
12,grapefruit,76
13,orange,72
14,saffron,72
15,cardamom,70
16,agarwood (oud),69
17,vetiver,68
18,amber,65
19,neroli,63
20,lavender,62
21,jasmine,49
22,orange blossom,49
23,ginger,47
24,tobacco,45
25,leather,43
26,cinnamon,41
27,oakmoss,39
28,violet,39
29,tonka bean,38
30,apple,37
31,black currant,35
32,citruses,34
33,olibanum (frankincense),33
34,iris,30
35,ylang-ylang,29
36,coriander,29
37,geranium,28
38,nutmeg,28
39,violet leaf,27
40,indian spices,26
41,aldehydes,26
42,galbanum,25
43,petitgrain,25
44,labdanum,25
45,lime,24
46,mint,24
47,elemi,21
48,tuberose,21
49,clary sage,20
50,cloves,20
51,bitter orange,20
52,pear,19
53,peach,18
54,cypress,17
55,basil,17
56,rosemary,16
57,raspberry,16
58,pineapple,16
59,green notes,16
60,lily-of-the-valley,16
61,yuzu,15
62,tangerine,15
63,rum,14
64,rhubarb,14
65,heliotrope,14
66,fig,14
67,sage,13
68,orris root,13
69,coconut,13
70,aquozone,13
71,salt,13
72,juniper berries,12
73,cashmeran,12
74,artemisia,12
75,juniper,12
76,osmanthus,12
77,civet,12
78,carnation,12
79,thyme,11
80,coffee,11
81,blood orange,11
82,davana,11
83,gardenia,11
84,ambrette (musk mallow),11
85,myrrh,11
86,ambergris,11
87,anise,11
88,honey,10
89,hazelnut cocoa spread,9
90,hay,9
91,mimosa,9
92,angelica,9
93,floral notes,9
94,fig leaf,9
95,fragonia,9
96,water pepper,8
97,almond,8
98,marian plum,8
99,castoreum,8
100,immortelle,8
101,tokaji wine,8
102,styrax,8
103,magnolia,7
104,star anise,7
105,cumin,7
106,dark chocolate,7
107,lemon verbena,7
108,plum,7
109,caramel,7
110,freesia,7
111,ambroxan,7
112,suede,6
113,blackberry,6
114,resins,6
115,hyacinth,6
116,camphor,6
117,smoke,6
118,cypriol oil or nagarmotha,6
119,elderflower,5
120,tolu balsam,5
121,guaiac wood,5
122,woody notes,5
123,narcissus,5
124,carrot,5
125,apricot,5
126,eucalyptus,5
127,peony,5
128,red apple,5
129,mate,5
130,whiskey,5
131,lilac,5
132,birch,5
133,ambretone,4
134,green tea flower,4
135,coconut pie,4
136,honeysuckle,4
137,lily,4
138,watermelon,4
139,seaweed,4
140,white flowers,4
141,forest fruits,4
142,birch tar,4
143,pomelo,4
144,marigold,4
145,spicy notes,4
146,opoponax,4
147,driftwood,4
148,amyris,4
149,metallic notes,4
150,carrot seeds,4
151,akigalawood,4
152,dried fruits,4
153,blueberry,4
154,palo santo,3
155,melon,3
156,shiso,3
157,mango,3
158,oak,3
159,passionfruit,3
160,sugar,3
161,orchid,3
162,grass,3
163,kaffir lime,3
164,cherry,3
165,chocolate flower,3
166,tarragon,3
167,sweet pea,3
168,250,2
169,cade oil,2
170,marshmallow,2
171,cyclamen,2
172,hatkora lemon,2
173,peru balsam,2
174,bamboo,2
175,caraway,2
176,apple blossom,2
177,rice,2
178,chamomile,2
179,blood,2
180,ash,2
181,cabreuva,2
182,beeswax,2
183,olive leaf,2
184,opium,2
185,tea,2
186,peach blossom,2
187,ivy,2
188,red berries,2
189,spruce,2
190,powdery notes,2
191,pomegranate,2
192,kumquat,2
193,papyrus,2
194,fern,2
195,red fruits,2
196,licorice,2
197,fruity notes,2
198,mushroom,2
199,champaca,1
200,pea,1
201,tomato leaf,1
202,talc,1
203,hyraceum,1
204,ho wood,1
205,celery,1
206,clove leaf,1
207,cherry blossom,1
208,praline,1
209,260,1
210,graphite,1
211,ice,1
212,costus,1
213,mitti attar,1
214,gooseberry,1
215,barley,1
216,peat,1
217,palmarosa,1
218,cloudberry,1
219,strawberry leaf,1
220,water lily,1
221,clearwood,1
222,myrtle,1
223,poppy,1
224,copal,1
225,campari,1
226,dry wood,1
227,clover,1
228,litsea cubeba,1
229,strawberry,1
230,toffee,1
231,grapefruit blossom,1
232,ozonic notes,1
233,fig tree,1
234,calamus,1
235,tobacco blossom,1
236,nag champa,1
237,guava,1
238,wildflowers,1
239,nashi pear,1
240,butter,1
241,teak wood,1
242,coffee blossom,1
243,pear blossom,1
244,amber xtreme,1
245,chalood bark,1
246,plum blossom,1
247,paper,1
248,camellia,1
249,dried apricot,1
250,white oud,1
251,taif rose,1
252,cucumber,1
253,asphalt,1
254,wheat,1
255,marjoram,1
256,milk,1
257,lovage root,1
258,amberwood,1
259,matcha tea,1
260,bay essence,1
261,ambrarome,1
262,allspice,1
263,liquor,1
264,cream,1
