pk,model,name,thumbnail,gender,top_notes,heart_notes,base_notes,seasons,availability,brand,categories,price,mean
26150000,perfumes.perfume,Signature Wild,26150000.jpg,1,"[178, 224, 303]","[7, 317, 661]","[26, 513, 808]",[3],True,278,"[2, 4, 8]",95.99,2.0
26150001,perfumes.perfume,Always Red Femme,26150001.jpg,0,[515],"[303, 473, 529, 695]","[193, 649, 692, 920]","[2, 3]",True,936,[3],16.99,8.0
26150069,perfumes.perfume,Aoud Sense,26150069.jpg,0,"[562, 660]","[7, 785]",[924],"[3, 4]",True,2102,"[3, 8]",226.0,4.333333333333333
26150118,perfumes.perfume,Tornade Blonde,26150118.jpg,0,"[33, 102, 780, 928]","[367, 473, 661, 785]","[26, 193, 692, 808]","[1, 3, 4]",True,655,"[3, 4]",104.0,3.0
26150120,perfumes.perfume,Trouble in Heaven,26150120.jpg,0,[96],"[461, 785]","[26, 498, 692, 908]","[1, 2, 3, 4]",True,655,[3],116.0,9.0
26150125,perfumes.perfume,Nightingale,26150125.jpg,0,"[96, 515, 800]","[785, 927]","[7, 28, 498, 624, 649, 652, 692, 808]","[1, 2, 3, 4]",True,3245,[3],39.32,6.5
26150132,perfumes.perfume,Chloé Fleur de Parfum,26150132.jpg,0,[519],"[208, 785]",[],"[1, 2, 3, 4]",True,647,[3],30.0,6.0
26150138,perfumes.perfume,Bohèmes,26150138.jpg,0,"[12, 96]","[303, 732, 785]",[],[3],True,1616,"[2, 3, 5]",22.0,3.0
26150146,perfumes.perfume,L'Étoile Noire,26150146.jpg,0,"[53, 96]","[193, 455, 785]","[36, 472, 692, 900, 908, 920]","[3, 4]",True,2264,"[3, 6, 8]",35.33,7.0
26150149,perfumes.perfume,Portraits : The Revenge of Lady Blanche,26150149.jpg,0,[669],[630],[444],"[1, 2, 3, 4]",True,2415,[3],35.33,6.5
26150150,perfumes.perfume,Portraits : Much Ado About The Duke,26150150.jpg,1,[708],"[282, 375]",[],"[3, 4]",True,2415,"[6, 11]",35.33,5.333333333333333
26150151,perfumes.perfume,Portraits : The Coveted Duchess Rose,26150151.jpg,0,[562],[785],[],"[1, 2, 3, 4]",True,2415,[3],35.33,6.5
26150166,perfumes.perfume,Vert des Bois,26150166.jpg,0,"[44, 655, 732]","[473, 947]","[692, 908]","[1, 3, 4]",True,3032,"[3, 4]",10.56,6.555555555555555
26150168,perfumes.perfume,Secrets d'Essences Accord Chic,26150168.jpg,0,"[331, 725]",[461],[652],"[1, 2, 3, 4]",True,3226,[3],149.09,4.0
26150188,perfumes.perfume,Emeraude Agar,26150188.jpg,0,"[42, 96, 708]","[336, 372, 785]","[7, 403, 808]","[3, 4]",True,293,[3],10.99,6.444444444444445
26150190,perfumes.perfume,Velvet Pure,26150190.jpg,0,"[344, 366, 473]","[372, 630]","[461, 924]","[1, 2, 3, 4]",True,864,[3],10.99,4.5
26150215,perfumes.perfume,Dulcet Flora,26150215.jpg,0,[512],"[372, 473, 527, 785, 966]","[216, 245, 669, 920]","[1, 3, 4]",True,2843,[3],30.0,5.0
26150228,perfumes.perfume,Desert Reflection,26150228.jpg,1,[793],"[473, 639, 785]","[193, 692, 808]","[1, 2]",True,887,[3],399.0,9.0
26150235,perfumes.perfume,Leather Up,26150235.jpg,0,"[12, 96, 184, 562, 800, 944]","[180, 472, 513, 601, 785, 864]","[293, 498, 624, 649]","[3, 4]",True,2451,[3],14.99,9.0
26150263,perfumes.perfume,Ecstasy,26150263.jpg,0,"[108, 259, 498, 660]","[224, 433, 785]","[7, 28, 193, 627, 692]",[4],True,887,"[3, 6, 7]",49.95,6.0
26150299,perfumes.perfume,The Fragrance Journals : 1976,26150299.jpg,1,"[96, 98, 515, 708]","[473, 480, 512, 924]","[26, 624, 692]",[3],True,1080,[3],84.95,7.333333333333333
26150301,perfumes.perfume,Greedy Essence,26150301.jpg,0,"[45, 473, 562]","[529, 694, 785, 808]","[7, 624, 692, 908, 920]",[3],True,3177,[3],80.0,8.0
26150308,perfumes.perfume,O - The Exclusive Parfum,26150308.jpg,0,[96],"[473, 661, 765, 785, 927]","[28, 39, 98, 193, 293, 331, 498, 513, 624, 649, 692, 725, 800, 808, 920]","[1, 3]",True,2635,[3],120.0,8.0
26150309,perfumes.perfume,Purple Accento,26150309.jpg,0,"[444, 723]","[461, 473, 725]","[7, 26, 624, 692, 920, 924]","[3, 4]",True,2844,[3],76.72,9.0
26150352,perfumes.perfume,Safwa,26150352.jpg,0,"[60, 82, 178, 224, 237, 372]","[193, 237, 358, 604]","[26, 498, 692, 920, 924]",[3],True,108,"[3, 5, 6, 8]",9.99,6.0
26150366,perfumes.perfume,Bracken Man,26150366.jpg,1,"[96, 237, 292, 515, 646]","[193, 224, 372, 808]","[624, 692]","[3, 4]",True,173,[8],288.0,6.3478260869565215
26150370,perfumes.perfume,Rahele,26150370.jpg,0,"[178, 224, 928]","[461, 473, 555, 670, 785, 927]","[193, 513, 649, 692, 808]","[1, 2, 3, 4]",True,2171,[3],191.98,6.0
26150374,perfumes.perfume,Eau Sacrée,26150374.jpg,0,[652],"[652, 692, 785]","[26, 455, 624, 627, 924]","[3, 4]",True,1287,"[3, 8, 9]",130.0,6.0
26150397,perfumes.perfume,YVRA 1958,26150397.jpg,1,[660],[708],"[193, 692, 908]","[3, 4]",True,3214,[6],26.96,8.0
26150402,perfumes.perfume,Samba Sport Man,26150402.jpg,1,"[96, 259]","[303, 319]","[624, 908]",[3],True,2427,"[5, 8]",44.98,9.0
26150405,perfumes.perfume,Spirituelle,26150405.jpg,0,"[708, 725]","[785, 785]","[26, 472, 624]","[1, 2, 3, 4]",True,861,[3],88.0,7.0
26150442,perfumes.perfume,Armani Privé Cuir Majesté,26150442.jpg,0,"[317, 472, 513, 670, 900]","[513, 785]","[7, 649, 920]","[3, 4]",True,1191,"[3, 10]",13.0,7.333333333333333
26150443,perfumes.perfume,Vetiver Citron Cologne Intense,26150443.jpg,1,"[388, 515]","[60, 178, 708]","[187, 193, 692, 908, 924]",[3],True,280,[6],39.5,8.0
26150446,perfumes.perfume,Jardin d'Ombre,26150446.jpg,0,"[96, 660]","[461, 473, 664, 785]","[26, 624, 692, 808]","[1, 2, 3, 4]",True,2299,[3],32.0,6.0
26150448,perfumes.perfume,Marte Red Planet,26150448.jpg,1,"[96, 515]","[604, 802]","[26, 808]","[2, 3]",True,369,[5],39.0,1.0
26150469,perfumes.perfume,Chantilly Eau de Vie,26150469.jpg,0,[],"[356, 367, 473]","[26, 808, 920]","[1, 3, 4]",True,781,[3],17.85,2.0
26150473,perfumes.perfume,English Daisy,26150473.jpg,0,[45],"[444, 785]","[624, 808]","[1, 2, 3, 4]",True,3217,[3],69.99,9.0
26150481,perfumes.perfume,Blueberry Musk,26150481.jpg,0,"[118, 660]","[555, 661]","[188, 624]","[1, 3, 4]",True,2780,"[3, 4]",57.67,9.0
26150488,perfumes.perfume,Z Zegna New York,26150488.jpg,1,[796],[303],[692],"[2, 3]",True,976,[5],24.0,7.0
26150489,perfumes.perfume,Z Zegna Milan,26150489.jpg,1,[343],[229],[808],"[2, 3]",True,976,[5],82.53,6.5
26150497,perfumes.perfume,Green Leather,26150497.jpg,0,"[765, 800, 896]","[472, 473]","[7, 26, 513, 864]","[1, 3, 4]",True,787,"[3, 4]",169.99,7.0
26150509,perfumes.perfume,Le Parfum de Lolita Lempicka,26150509.jpg,0,[920],"[193, 473, 927]","[498, 908]","[3, 4]",True,1816,[3],82.53,9.0
26150533,perfumes.perfume,Herrera Confidential : Mystery Tobacco,26150533.jpg,0,"[227, 376]","[303, 670, 900, 924]","[403, 692, 908]",[3],True,586,[5],19.95,6.8
26150537,perfumes.perfume,Pineapple Vintage,26150537.jpg,0,"[45, 723]","[45, 96, 473, 723, 785]","[28, 98, 692, 920]",[1],True,2368,"[2, 3]",27.77,6.888888888888889
26150573,perfumes.perfume,L'Insoumis,26150573.jpg,1,"[82, 96, 796]","[229, 512, 708]","[231, 649, 924]",[3],True,1712,"[3, 5, 6]",12.95,5.285714285714286
26150581,perfumes.perfume,Messy Sexy Just Rolled out of Bed,26150581.jpg,0,"[96, 695]","[421, 785]","[26, 187, 624, 808, 902, 908, 920]","[1, 2, 3, 4]",True,20,[3],66.99,1.3333333333333333
26150585,perfumes.perfume,Ambre Mythique,26150585.jpg,0,"[96, 259, 372, 472]","[498, 512, 627]","[692, 808, 908, 920]","[3, 4]",True,2008,[9],20.94,6.0
26150606,perfumes.perfume,Empire,26150606.jpg,1,"[96, 530]","[45, 473]","[26, 692, 908]","[1, 3]",True,2863,"[2, 3]",39.47,9.0
26150653,perfumes.perfume,Patchouli Argent,26150653.jpg,0,[96],"[259, 473, 785]","[7, 472, 624, 692]","[3, 4]",True,1094,[3],48.0,6.0
26150654,perfumes.perfume,Brume du Matin,26150654.jpg,0,"[96, 562]","[473, 694, 707, 732, 785, 927]","[7, 26, 624]","[1, 3]",True,1094,[3],31.49,6.0
26150657,perfumes.perfume,Zest Marin,26150657.jpg,0,"[96, 366, 515]",[646],"[920, 924]","[3, 4]",True,1094,[6],14.99,4.0
26150662,perfumes.perfume,Scent of a Dream,26150662.jpg,0,"[96, 515, 562, 708, 800]","[473, 652, 913, 927]","[36, 463, 692]","[3, 4]",True,626,[3],54.63,2.0
26150678,perfumes.perfume,Magic in the Air,26150678.jpg,0,[699],"[245, 473]","[624, 808, 920]","[1, 3]",True,366,"[2, 3]",38.99,7.0
26150690,perfumes.perfume,Velvet Orchid Lumière,26150690.jpg,0,"[96, 433, 562, 796]","[473, 664, 785]","[627, 808, 920]","[1, 2, 3, 4]",True,3032,[3],185.89,3.0
26150691,perfumes.perfume,Sutton Place,26150691.jpg,1,"[96, 282, 793]","[259, 372, 473, 512]","[26, 472, 513, 624, 692]","[3, 4]",True,473,[3],151.29,7.5
26150736,perfumes.perfume,Coeur Noir,26150736.jpg,0,[708],[498],[920],"[3, 4]",True,1313,[9],37.77,4.0
26150738,perfumes.perfume,India Ink,26150738.jpg,0,"[237, 652, 854]",[39],[7],"[3, 4]",True,1313,[8],60.0,9.0
26150740,perfumes.perfume,Pistil Whip,26150740.jpg,0,"[96, 725]","[180, 913]",[924],"[1, 3, 4]",True,1313,"[3, 4]",39.95,1.0
26150752,perfumes.perfume,Oud,26150752.jpg,0,"[96, 331, 627]","[472, 513]","[7, 28, 403]","[3, 4]",True,2547,"[4, 10]",12.66,5.0
26150844,perfumes.perfume,Purple Heart,26150844.jpg,0,[],"[785, 805, 927]","[808, 920]","[1, 2, 3, 4]",True,1930,[3],18.95,8.0
26150853,perfumes.perfume,Champagne Apple & Honey,26150853.jpg,0,[770],[473],[920],"[1, 2, 3, 4]",True,366,[3],14.0,6.0
26150855,perfumes.perfume,Golden Pear & Brown Sugar,26150855.jpg,0,[96],"[733, 748]",[920],[4],True,366,"[3, 7]",46.12,6.0
26150866,perfumes.perfume,Black Leather,26150866.jpg,1,"[96, 708]","[480, 928]","[26, 624]","[2, 3]",True,678,[5],23.0,5.0
26150889,perfumes.perfume,Florever,26150889.jpg,0,"[725, 888, 971]","[376, 555, 954]","[26, 624]","[3, 4]",True,91,[3],197.53,6.0
26150902,perfumes.perfume,Pearl,26150902.jpg,0,"[395, 562, 785]","[473, 529, 661, 785]","[28, 624, 649]","[1, 3, 4]",True,1918,[3],299.0,6.0
26150909,perfumes.perfume,"Bergamot, Jasmine & Labdanum",26150909.jpg,0,[96],[473],[498],"[1, 2, 3, 4]",True,779,[3],19.99,6.0
26150916,perfumes.perfume,R'osa,26150916.jpg,0,"[96, 565, 725]","[421, 473, 785]","[26, 624, 920]","[1, 2, 3, 4]",True,62,[3],34.99,7.0
26150936,perfumes.perfume,Clémentine California,26150936.jpg,0,"[481, 562]","[708, 854]","[292, 808, 924]","[3, 4]",True,293,[6],185.0,5.166666666666667
26150939,perfumes.perfume,Gosha Rubchinskiy,26150939.jpg,0,[42],[201],"[692, 924]","[1, 2, 3, 4]",True,705,[3],13.99,6.0
26150944,perfumes.perfume,Nectar de Fleurs,26150944.jpg,0,"[358, 639]","[661, 785, 927, 966]",[624],"[1, 3, 4]",True,612,[3],61.07,5.0
26150956,perfumes.perfume,Rose Atlantic,26150956.jpg,0,"[96, 515]",[805],"[624, 649, 805]","[1, 2, 3, 4]",True,771,[12],118.34,6.5
26150983,perfumes.perfume,Joop! Homme Kings of Seduction : Red King,26150983.jpg,1,[224],"[661, 692]","[193, 908]","[3, 4]",True,1552,"[4, 8]",19.95,9.0
26150993,perfumes.perfume,Love Relentlessly,26150993.jpg,0,"[354, 725]","[461, 785]","[692, 808, 924]","[1, 2, 3, 4]",True,3045,[3],17.99,6.666666666666667
26150994,perfumes.perfume,Tuberose Flash,26150994.jpg,0,"[227, 947]","[473, 661, 913]","[26, 692]","[1, 3, 4]",True,2944,[4],21.0,5.0
26151015,perfumes.perfume,Mercedes-Benz Cologne,26151015.jpg,1,"[388, 562, 660]","[376, 519, 725]","[624, 924]","[3, 4]",True,2023,[6],25.84,6.5
26151016,perfumes.perfume,Night Veils : La Botte,26151016.jpg,0,[473],[927],[513],"[1, 2, 3, 4]",True,534,[3],37.61,7.25
26151017,perfumes.perfume,Night Veils : La Selle,26151017.jpg,1,[187],"[513, 900]","[98, 649]",[3],True,534,"[5, 10]",242.0,3.0
26151031,perfumes.perfume,B683,26151031.jpg,1,"[646, 708, 708, 800]","[26, 498, 624, 928]","[36, 649, 692, 808]",[3],True,1938,[10],224.0,5.8
26151098,perfumes.perfume,White Tea,26151098.jpg,0,"[229, 341, 562]","[586, 785]","[26, 33, 624, 908]","[2, 3]",True,936,"[3, 5]",19.99,6.0
26151245,perfumes.perfume,Zara for Him Silver Edition,26151245.jpg,1,"[388, 512, 708]",[178],"[624, 920]","[3, 4]",True,3232,[6],65.0,1.0
